ID,Station,Latitude,Longitude
4020,마곡나루,37.565599,126.8274551
4101,인천공항1터미널,37.4479281,126.4520512
4102,장기주차장,37.4439095,126.4555824
4103,합동청사,37.4404731,126.4586887
4104,파라다이스시티,37.4371242,126.45991
4105,워터파크,37.4292213,126.4342312
4106,용유,37.42476,126.4236639
11001,발곡,37.7269917,127.0529099
11002,회룡,37.7250156,127.0471083
11003,범골,37.7287961,127.043664
11004,경전철의정부,37.7372914,127.043317
11005,의정부시청,37.7392416,127.0348665
11006,흥선,37.7432932,127.0371208
11007,의정부중앙,37.7436839,127.0496635
11008,동오,37.7452685,127.0569791
11009,새말,37.7488688,127.0637847
11010,경기도청북부청사,37.7507754,127.071618
11011,효자,37.7539992,127.0772809
11012,곤제,37.7505337,127.0838461
11013,어룡,37.7426961,127.0852264
11014,송산,37.7372812,127.0872089
11015,탑석,37.7335065,127.0889136
11109,고색,37.2496683,126.9802893
11110,오목천,37.2434864,126.964121
11111,어천,37.2500921,126.9089578
11112,야목,37.2611904,126.8840766
11113,사리,37.2909129,126.8571791
11114,한대앞,37.3102248,126.8531445
11115,중앙,37.3161041,126.8375964
11116,고잔,37.3168803,126.8222592
11117,초지,37.3210165,126.8052422
11118,안산,37.3273233,126.7880928
11119,신길온천,37.3379844,126.7663857
11120,정왕,37.3519972,126.7422567
11121,오이도,37.362651,126.7388048
11122,월곶,37.3918973,126.7426408
11123,소래포구,37.4009748,126.733547
11124,인천논현,37.4006386,126.7224215
11125,호구포,37.4016352,126.7086973
11126,남동인더스파크,37.407784,126.6952494
11127,원인재,37.4130941,126.6866059
11128,연수,37.4178721,126.6788826
11129,송도,37.4299506,126.6547039
11131,인하대,37.4482143,126.6498422
11132,숭의,37.4609117,126.638075
11133,신포,37.4684547,126.6245247
11134,인천,37.4765047,126.6173965
11150,달월,37.380008,126.745449
11221,판교,37.3947359,127.1112198
11222,이매,37.3947355,127.1272322
11223,삼동,37.4087369,127.2034615
11224,경기광주,37.3989242,127.2533132
11225,초월,37.3733942,127.3000099
11226,곤지암,37.3505293,127.3462002
11227,신둔도예촌,37.3155675,127.4052368
11228,이천,37.2642256,127.4420972
11229,부발,37.2604214,127.4903344
11230,세종대왕릉,37.2936379,127.5707764
11231,여주,37.2828819,127.6285832
11321,북한산우이,37.6629089,127.0127977
11322,솔밭공원,37.6560475,127.013278
11323,419민주묘지,37.6495536,127.0136693
11324,가오리,37.6415589,127.01681
11325,화계,37.6341179,127.0175118
11326,삼양,37.6269221,127.0181637
11327,삼양사거리,37.6213406,127.0205069
11328,솔샘,37.6202664,127.0135351
11329,북한산보국문,37.6122156,127.0081539
11330,정릉,37.6026666,127.0134944
11331,성신여대입구,37.592412,127.016544
11332,보문,37.5850248,127.0195556
11333,신설동,37.576793,127.0232133
11421,소사,37.4832808,126.7949645
11422,소새울,37.46848,126.7972911
11423,시흥대야,37.450194,126.7929771
11424,신천,37.439035,126.786751
11425,신현,37.40968,126.7878281
11427,시흥시청,37.38148,126.8059211
11428,시흥능곡,37.3701572,126.8087339
11429,달미,37.3489244,126.8094012
11430,선부,37.334407,126.8100031
11431,초지,37.320001,126.8080167
11432,시우,37.313153,126.7957181
11433,원시,37.3025729,126.7867872
11511,양촌,37.6416449,126.6148276
11512,구래,37.6453969,126.6287076
11513,마산,37.6408135,126.6445072
11514,장기,37.6441705,126.6691099
11515,운양,37.6538667,126.6838489
11516,걸포북변,37.6316502,126.7057322
11517,사우(김포시청),37.6203107,126.7198386
11518,풍무,37.6122941,126.7326928
11519,고촌,37.6013994,126.7702144
11520,김포공항,37.5622872,126.8026246
11711,샛강,37.5171768,126.9294657
11712,대방,37.5126282,126.9253405
11713,서울지방병무청,37.5060835,126.9227065
11714,보라매,37.5003638,126.9204535
11715,보라매공원,37.4954184,126.9181629
11716,보라매병원,37.4929668,126.9235648
11717,당곡,37.4902087,126.927572
11718,신림,37.4850582,126.9295998
11719,서원,37.4782429,126.933092
11720,서울대벤처타운,37.47204,126.933945
11721,관악산(서울대),37.4690852,126.9450922
20110,계양,37.5714532,126.736411
20111,귤현,37.5666362,126.7424923
20112,박촌,37.553537,126.7449949
20113,임학,37.5450986,126.738672
